,Satznummer_Auto,Artikeltext_Auto,"V9_KKI_Relevanz 
0 = nicht relevant, 1 = relevant","V10_Erwähnung_KKI_Angebot 
0 = nicht relevant, 1 = wird nicht erwähnt, 2 = wird erwähnt","V11_Bewertung_KKI 
0 = nicht relevant, 1 = negativ, 2 = positiv, 3= neutral","V12_Frame_Risiko_Fortschritt_Gemischt 
0 = nicht relevant, 1 = Risiko, 2 = Fortschritt, 3 = gemischt, 33 = kein Frame","V13_Risiko_Typ 
0 = nicht relevant, 1 =   Gesellschaftsrisiken, 2 =  Sicherheitsrisiken, 3 = Wirtschaftsrisiken, 4 = Informationsrisiken, 5 = Existentielle Risiken, 77 = kein konkretes Risiko, 99 = mehrere Risiken, 88 = anderes Risiko, 33 = kein Risiko","V13_2_Risiko_Typ_Anderes 
offenes Codieren","V14_Fortschritt_Typ 
0 = nicht relevant, 1 = Gesellschaftlicher Fortschritt, 2 = Gesundheitlicher Fortschritt, 3 = Wirtschaftlicher Fortschritt, 4 = Technologischer Fortschritt, 5 = Fortschritt zum Wohle der Menschheit, 77 = kein konkreter Fortschritt, 99 = mehrere Fortschrittstypen, 88 = anderer Fortschritt, 33 = kein Fortschritt","V14_2_Fortschritt_Typ_Anderes 
offenes Codieren",article_id,prefix,suffix
1006,88,"SPIEGEL: Der Staat sollte nicht nur investieren, sondern auch mit gesetzlichen Vorgaben in den Markt für KI eingreifen?",1,1,3,33,33,0,33,0.0,2078,"Deswegen plädiere ich schon länger unter anderem für eine staatlich finanzierte Cloud. SPIEGEL: Die würde Rechenkraft und Datenverarbeitungskapazitäten liefern, die für öffentliche Einrichtungen zu teuer sind? Li: Ja, damit würde mehr akademische KI-Forschung möglich. Derzeit gibt es ein parteiübergreifendes Gesetzesvorhaben in den USA, den Create AI Act, um das finanzielle Ungleichgewicht zwischen Privatkonzernen und öffentlichen Einrichtungen zu bekämpfen. Ich hoffe sehr, dass es beschlossen wird.","Li: Regulierung gehört dazu, natürlich. Schon um Vertrauen aufzubauen. So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht."
1007,89,"Li: Regulierung gehört dazu, natürlich.",1,1,3,33,33,0,33,0.0,2078,"SPIEGEL: Die würde Rechenkraft und Datenverarbeitungskapazitäten liefern, die für öffentliche Einrichtungen zu teuer sind? Li: Ja, damit würde mehr akademische KI-Forschung möglich. Derzeit gibt es ein parteiübergreifendes Gesetzesvorhaben in den USA, den Create AI Act, um das finanzielle Ungleichgewicht zwischen Privatkonzernen und öffentlichen Einrichtungen zu bekämpfen. Ich hoffe sehr, dass es beschlossen wird. SPIEGEL: Der Staat sollte nicht nur investieren, sondern auch mit gesetzlichen Vorgaben in den Markt für KI eingreifen?","Schon um Vertrauen aufzubauen. So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt."
1008,90,Schon um Vertrauen aufzubauen.,1,1,3,33,33,0,33,0.0,2078,"Li: Ja, damit würde mehr akademische KI-Forschung möglich. Derzeit gibt es ein parteiübergreifendes Gesetzesvorhaben in den USA, den Create AI Act, um das finanzielle Ungleichgewicht zwischen Privatkonzernen und öffentlichen Einrichtungen zu bekämpfen. Ich hoffe sehr, dass es beschlossen wird. SPIEGEL: Der Staat sollte nicht nur investieren, sondern auch mit gesetzlichen Vorgaben in den Markt für KI eingreifen? Li: Regulierung gehört dazu, natürlich.","So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt. SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen."
1011,93,"Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt.",1,1,3,33,33,0,33,0.0,2078,"SPIEGEL: Der Staat sollte nicht nur investieren, sondern auch mit gesetzlichen Vorgaben in den Markt für KI eingreifen? Li: Regulierung gehört dazu, natürlich. Schon um Vertrauen aufzubauen. So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht.","SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen. Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten. Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden."
1012,94,"SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen.",1,1,3,2,33,0,4,0.0,2078,"Li: Regulierung gehört dazu, natürlich. Schon um Vertrauen aufzubauen. So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt.","Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten. Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten."
1013,95,"Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten.",1,1,3,33,33,0,33,0.0,2078,"Schon um Vertrauen aufzubauen. So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt. SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen.","Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch."
1014,96,Die sind auch nicht alle implodiert.,1,1,3,33,33,0,33,0.0,2078,"So wie Pharmafirmen nicht einfach behaupten dürfen: Unser Medikament ist sicher. In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt. SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen. Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten.","Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus?"
1015,97,"Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden.",1,1,3,33,33,0,33,0.0,2078,"In fast allen Bereichen gibt es bereits staatliche Regulierungen, in der Arzneimittelzulassung etwa oder in der Finanzaufsicht. Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt. SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen. Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten. Die sind auch nicht alle implodiert.","Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss."
1016,98,"Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten.",1,1,3,1,2,0,33,0.0,2078,"Am drängendsten scheint mir, dass wir diese existierende Regulierung dort anpassen, wo KI zum Einsatz kommt. SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen. Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten. Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden.","Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss. Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben."
1017,99,Universitäten übrigens auch.,1,1,3,33,33,0,33,0.0,2078,"SPIEGEL: Andererseits besteht die Gefahr, dass zu viele staatliche Vorgaben die technologische Entwicklung ausbremsen. Li: Es gibt sehr viele Unternehmen, die mit ethischen Standards und Sicherheitsvorgaben an KI arbeiten. Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten.","SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss. Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben. Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören."
1019,101,"Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss.",1,1,3,33,33,0,33,0.0,2078,"Die sind auch nicht alle implodiert. Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus?","Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben. Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören. Und natürlich Experten aus dem jeweiligen Forschungsgebiet. SPIEGEL: Woran forschen Sie aktuell?"
1020,102,"Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben.",1,1,3,3,77,0,77,0.0,2078,"Industrienormen und ein gesetzlicher Rahmen sind notwendig, um unserer Verantwortung gerecht zu werden. Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss.","Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören. Und natürlich Experten aus dem jeweiligen Forschungsgebiet. SPIEGEL: Woran forschen Sie aktuell? Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen."
1021,103,"Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören.",1,1,3,3,77,0,2,0.0,2078,"Firmen brauchen auf jeden Fall Sicherheitsmaßnahmen, wenn sie an KI arbeiten. Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss. Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben.","Und natürlich Experten aus dem jeweiligen Forschungsgebiet. SPIEGEL: Woran forschen Sie aktuell? Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen. SPIEGEL: Was ist das Ziel?"
1022,104,Und natürlich Experten aus dem jeweiligen Forschungsgebiet.,1,1,3,33,33,0,33,0.0,2078,"Universitäten übrigens auch. SPIEGEL: Wie sehen diese an der Stanford University aus? Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss. Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben. Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören.","SPIEGEL: Woran forschen Sie aktuell? Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen. SPIEGEL: Was ist das Ziel? Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren."
1024,106,"Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen.",1,1,3,33,33,0,33,0.0,2078,"Li: Wir haben einen Ethik-Prüfungsausschuss mit Vertretern aus verschiedenen Fakultäten eingerichtet, der jedes KI-Projekt begutachten und genehmigen muss. Unternehmen sollten einen ähnlichen Prozess etablieren, in dem möglichst viele Beteiligte ihre Einschätzung zu den Chancen und Gefahren eines neuen Produkts abgeben. Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören. Und natürlich Experten aus dem jeweiligen Forschungsgebiet. SPIEGEL: Woran forschen Sie aktuell?","SPIEGEL: Was ist das Ziel? Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren. SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege."
1026,108,"Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren.",1,1,3,2,33,0,4,0.0,2078,"Im Falle einer KI-Anwendung im Gesundheitswesen würden dazu Patienten, Krankenhausmanager, Ärzte, Versicherungen und die zuständigen Behörden gehören. Und natürlich Experten aus dem jeweiligen Forschungsgebiet. SPIEGEL: Woran forschen Sie aktuell? Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen. SPIEGEL: Was ist das Ziel?","SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege. Da ist noch viel Grundlagenforschung nötig. Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten."
1028,110,"Li: Überall, etwa im Haushalt und in der Pflege.",1,1,3,33,33,0,33,0.0,2078,"SPIEGEL: Woran forschen Sie aktuell? Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen. SPIEGEL: Was ist das Ziel? Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren. SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen?","Da ist noch viel Grundlagenforschung nötig. Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten. Letztlich müssen wir eine maschinelle Intelligenz entwickeln, die die menschliche Sprache, Emotionen, Absichten und Verhaltensweisen versteht. SPIEGEL: Ist es das, was Sie antreibt: die »Geheimnisse der Intelligenz« zu entziffern, wie Sie in Ihren gerade erschienenen Memoiren schreiben *?"
1029,111,Da ist noch viel Grundlagenforschung nötig.,1,1,3,33,33,0,33,0.0,2078,"Li: In meinem Laborarbeiten wir vor allem an lernenden Robotern und an verkörperterkünstlicher Intelligenz, also Robotern, die sich in einer virtuellen Welt bewegen. SPIEGEL: Was ist das Ziel? Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren. SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege.","Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten. Letztlich müssen wir eine maschinelle Intelligenz entwickeln, die die menschliche Sprache, Emotionen, Absichten und Verhaltensweisen versteht. SPIEGEL: Ist es das, was Sie antreibt: die »Geheimnisse der Intelligenz« zu entziffern, wie Sie in Ihren gerade erschienenen Memoiren schreiben *? Li: Ich wollte eigentlich Physikerin werden, schon als Kind."
1030,112,"Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten.",1,1,3,1,77,0,33,0.0,2078,"SPIEGEL: Was ist das Ziel? Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren. SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege. Da ist noch viel Grundlagenforschung nötig.","Letztlich müssen wir eine maschinelle Intelligenz entwickeln, die die menschliche Sprache, Emotionen, Absichten und Verhaltensweisen versteht. SPIEGEL: Ist es das, was Sie antreibt: die »Geheimnisse der Intelligenz« zu entziffern, wie Sie in Ihren gerade erschienenen Memoiren schreiben *? Li: Ich wollte eigentlich Physikerin werden, schon als Kind. Das war mein erstes Studium."
1031,113,"Letztlich müssen wir eine maschinelle Intelligenz entwickeln, die die menschliche Sprache, Emotionen, Absichten und Verhaltensweisen versteht.",1,1,3,2,33,0,4,0.0,2078,"Li: Roboter zu entwickeln, die sich anpassen können, um besser und enger mit Menschen zusammenzuarbeiten und zu interagieren. SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege. Da ist noch viel Grundlagenforschung nötig. Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten.","SPIEGEL: Ist es das, was Sie antreibt: die »Geheimnisse der Intelligenz« zu entziffern, wie Sie in Ihren gerade erschienenen Memoiren schreiben *? Li: Ich wollte eigentlich Physikerin werden, schon als Kind. Das war mein erstes Studium. Abends las ich Bücher von Albert Einstein oder Erwin Schrödinger und merkte: Im Alter machen sich Physiker vor allem Gedanken darüber, was das Leben und die menschliche Intelligenz ausmacht."
1032,114,"SPIEGEL: Ist es das, was Sie antreibt: die »Geheimnisse der Intelligenz« zu entziffern, wie Sie in Ihren gerade erschienenen Memoiren schreiben *?",1,1,3,33,33,0,33,0.0,2078,"SPIEGEL: In der Industrieproduktion oder auch in anderen Bereichen? Li: Überall, etwa im Haushalt und in der Pflege. Da ist noch viel Grundlagenforschung nötig. Den derzeitigen KI-Systemen mangelt es an Flexibilität, sie verstehen Kontext oft nicht und lassen sich schwer in verständlichen Begriffen anleiten. Letztlich müssen wir eine maschinelle Intelligenz entwickeln, die die menschliche Sprache, Emotionen, Absichten und Verhaltensweisen versteht.","Li: Ich wollte eigentlich Physikerin werden, schon als Kind. Das war mein erstes Studium. Abends las ich Bücher von Albert Einstein oder Erwin Schrödinger und merkte: Im Alter machen sich Physiker vor allem Gedanken darüber, was das Leben und die menschliche Intelligenz ausmacht. Deshalb bin ich zu den Neurowissenschaften umgeschwenkt."
1038,120,"Sie brachten danach erstmals Algorithmen bei, Bilder besser zu erkennen, als Menschen es können, ein wesentlicher Grundstein für ChatGPT und ähnliche Systeme.",1,2,3,33,33,0,33,0.0,2078,"Li: Ich wollte eigentlich Physikerin werden, schon als Kind. Das war mein erstes Studium. Abends las ich Bücher von Albert Einstein oder Erwin Schrödinger und merkte: Im Alter machen sich Physiker vor allem Gedanken darüber, was das Leben und die menschliche Intelligenz ausmacht. Deshalb bin ich zu den Neurowissenschaften umgeschwenkt. SPIEGEL: Als Doktorandin am California Institute of Technology in Pasadena befassten Sie sich vor allem damit, wie das Gehirn verarbeitet, was es sieht.","Ist visuelles Verständnis der Schlüssel zur künstlichen Intelligenz? Li: Ja, Computer Vision, also das Erkennen von Objekten und Ereignissen durch die Maschine, ist für mich künstliche Intelligenz. Visuelle Wahrnehmung ist fundamental. SPIEGEL: Können Sie das näher erklären?"
1039,121,Ist visuelles Verständnis der Schlüssel zur künstlichen Intelligenz?,1,1,3,33,33,0,33,0.0,2078,"Das war mein erstes Studium. Abends las ich Bücher von Albert Einstein oder Erwin Schrödinger und merkte: Im Alter machen sich Physiker vor allem Gedanken darüber, was das Leben und die menschliche Intelligenz ausmacht. Deshalb bin ich zu den Neurowissenschaften umgeschwenkt. SPIEGEL: Als Doktorandin am California Institute of Technology in Pasadena befassten Sie sich vor allem damit, wie das Gehirn verarbeitet, was es sieht. Sie brachten danach erstmals Algorithmen bei, Bilder besser zu erkennen, als Menschen es können, ein wesentlicher Grundstein für ChatGPT und ähnliche Systeme.","Li: Ja, Computer Vision, also das Erkennen von Objekten und Ereignissen durch die Maschine, ist für mich künstliche Intelligenz. Visuelle Wahrnehmung ist fundamental. SPIEGEL: Können Sie das näher erklären? Li: Aus evolutionärer Sicht hängen Wahrnehmung und Intelligenz sehr eng zusammen."
1040,122,"Li: Ja, Computer Vision, also das Erkennen von Objekten und Ereignissen durch die Maschine, ist für mich künstliche Intelligenz.",1,1,3,33,33,0,33,0.0,2078,"Abends las ich Bücher von Albert Einstein oder Erwin Schrödinger und merkte: Im Alter machen sich Physiker vor allem Gedanken darüber, was das Leben und die menschliche Intelligenz ausmacht. Deshalb bin ich zu den Neurowissenschaften umgeschwenkt. SPIEGEL: Als Doktorandin am California Institute of Technology in Pasadena befassten Sie sich vor allem damit, wie das Gehirn verarbeitet, was es sieht. Sie brachten danach erstmals Algorithmen bei, Bilder besser zu erkennen, als Menschen es können, ein wesentlicher Grundstein für ChatGPT und ähnliche Systeme. Ist visuelles Verständnis der Schlüssel zur künstlichen Intelligenz?","Visuelle Wahrnehmung ist fundamental. SPIEGEL: Können Sie das näher erklären? Li: Aus evolutionärer Sicht hängen Wahrnehmung und Intelligenz sehr eng zusammen. Sobald man seine Umgebung wahrnimmt, kann man sich darin bewegen."
1041,123,Visuelle Wahrnehmung ist fundamental.,1,1,3,33,33,0,33,0.0,2078,"Deshalb bin ich zu den Neurowissenschaften umgeschwenkt. SPIEGEL: Als Doktorandin am California Institute of Technology in Pasadena befassten Sie sich vor allem damit, wie das Gehirn verarbeitet, was es sieht. Sie brachten danach erstmals Algorithmen bei, Bilder besser zu erkennen, als Menschen es können, ein wesentlicher Grundstein für ChatGPT und ähnliche Systeme. Ist visuelles Verständnis der Schlüssel zur künstlichen Intelligenz? Li: Ja, Computer Vision, also das Erkennen von Objekten und Ereignissen durch die Maschine, ist für mich künstliche Intelligenz.","SPIEGEL: Können Sie das näher erklären? Li: Aus evolutionärer Sicht hängen Wahrnehmung und Intelligenz sehr eng zusammen. Sobald man seine Umgebung wahrnimmt, kann man sich darin bewegen. Man nimmt Nahrung wahr und wird zur Nahrung."
1049,131,"Deswegen liegt es für mich so nahe, künstliche Intelligenz mit Robotern zu verbinden damit sie ihre Umgebung wahrnehmen und interpretieren lernen.",1,1,3,33,33,0,33,0.0,2078,"Sobald man seine Umgebung wahrnimmt, kann man sich darin bewegen. Man nimmt Nahrung wahr und wird zur Nahrung. Das löste vor 540 Millionen Jahren ein evolutionäres Wettrennen aus. Um die Umgebung besser zu verstehen und sich etwa vor Jägern zu verstecken, brauchte es mehr Neuronen im Gehirn. Die Intelligenz nahm zu.","SPIEGEL: Frau Li, wir danken Ihnen für dieses Gespräch. * Fei-Fei Li: »The Worlds I See: Curiosity, Exploration and Discovery at the Dawn of AI«. Macmillan ; 336 Seiten. Das Gespräch führten die Redakteure Simon Book und Thomas Schulz in Stanford."
1053,1,Brüssel - Die EU-Staaten haben schärfere Regeln für Künstliche Intelligenz (KI) in der Europäischen Union beschlossen.,1,1,3,33,33,0,33,0.0,3054, ,"Sie stimmten am Dienstag in Brüssel den Plänen zu, mit denen unter anderem bestimmte KI-Anwendungen ganz verboten werden, wie die Länder mitteilten. Es sei das weltweit erste Gesetz dieser Art und könne einen globalen Standard für die Regulierung von KI setzen. Das Gesetz zielt darauf ab, die Nutzung von KI in der Europäischen Union sicherer zu machen. Es soll sicherstellen, dass KI-Systeme möglichst transparent, nachvollziehbar, nicht diskriminierend und umweltfreundlich sind."
1054,2,"Sie stimmten am Dienstag in Brüssel den Plänen zu, mit denen unter anderem bestimmte KI-Anwendungen ganz verboten werden, wie die Länder mitteilten.",1,1,3,1,77,0,33,0.0,3054,Brüssel - Die EU-Staaten haben schärfere Regeln für Künstliche Intelligenz (KI) in der Europäischen Union beschlossen.,"Es sei das weltweit erste Gesetz dieser Art und könne einen globalen Standard für die Regulierung von KI setzen. Das Gesetz zielt darauf ab, die Nutzung von KI in der Europäischen Union sicherer zu machen. Es soll sicherstellen, dass KI-Systeme möglichst transparent, nachvollziehbar, nicht diskriminierend und umweltfreundlich sind. Ein wichtiger Aspekt ist, dass die KI-Systeme von Menschen überwacht werden und nicht nur von anderen Technologien."
1055,3,Es sei das weltweit erste Gesetz dieser Art und könne einen globalen Standard für die Regulierung von KI setzen.,1,1,3,33,33,0,33,0.0,3054,"Brüssel - Die EU-Staaten haben schärfere Regeln für Künstliche Intelligenz (KI) in der Europäischen Union beschlossen. Sie stimmten am Dienstag in Brüssel den Plänen zu, mit denen unter anderem bestimmte KI-Anwendungen ganz verboten werden, wie die Länder mitteilten.","Das Gesetz zielt darauf ab, die Nutzung von KI in der Europäischen Union sicherer zu machen. Es soll sicherstellen, dass KI-Systeme möglichst transparent, nachvollziehbar, nicht diskriminierend und umweltfreundlich sind. Ein wichtiger Aspekt ist, dass die KI-Systeme von Menschen überwacht werden und nicht nur von anderen Technologien. Kein,, Social Scoring "" erlaubt Die Pläne gehen auf einen Vorschlag der EU-Kommission von 2021 zurück."
